Mã thủ tục,Đường dẫn,File
1.004194,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=5974,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.004194.doc
1.001456,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2131,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.001456.doc
1.004222,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6007,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.004222.doc
1.001471,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2149,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.001471.doc
2.001195,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=4081,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_2.001195.doc
2.001159,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3931,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_2.001159.doc
1.002755,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3930,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.002755.doc
2.000200,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=642,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_2.000200.doc
1.000466,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=680,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.000466.doc
2.001194,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=4074,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_2.001194.doc
1.010028,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=270416,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.010028.doc
1.000757,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1098,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.000757.doc
1.003677,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=5252,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.003677.doc
1.010384,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=288122,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.010384.doc
2.001178,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=4010,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_2.001178.doc
1.001445,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2113,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.001445.doc
1.000889,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1314,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.000889.doc
1.001247,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1855,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.001247.doc
1.010382,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=288120,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.010382.doc
2.000539,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1638,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_2.000539.doc
1.010386,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=288124,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.010386.doc
1.010385,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=288123,D:/capstone-project/backup\cu_tru_va_giay_to_tuy_than\ChiTietTTHC_1.010385.doc
