Mã thủ tục,Đường dẫn,File
1.000915,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1358,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.000915.doc
1.005099,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=7124,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.005099.doc
2.001904,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6747,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_2.001904.doc
1.005142,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=7211,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.005142.doc
1.001942,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2808,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.001942.doc
1.004889,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6829,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.004889.doc
1.002499,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3568,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.002499.doc
1.005086,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=7102,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.005086.doc
1.005108,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=7137,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.005108.doc
1.001622,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2367,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.001622.doc
1.003702,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=5281,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.003702.doc
1.005090,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=7108,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.005090.doc
1.005098,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=7123,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.005098.doc
1.001694,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2470,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.001694.doc
1.002543,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3632,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.002543.doc
1.003734,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=5323,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.003734.doc
1.001714,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2496,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.001714.doc
1.001912,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2761,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.001912.doc
1.005095,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=7115,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.005095.doc
2.001960,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6957,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_2.001960.doc
1.001895,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2736,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.001895.doc
2.001959,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6956,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_2.001959.doc
1.002982,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=4242,D:/capstone-project/backup\hoc_tap\ChiTietTTHC_1.002982.doc
