Mã thủ tục,Đường dẫn,File
1.002179,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=3134,D:/capstone-project/backup\huu_tri\ChiTietTTHC_1.002179.doc
2.000740,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2362,D:/capstone-project/backup\huu_tri\ChiTietTTHC_2.000740.doc
2.000809,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2620,D:/capstone-project/backup\huu_tri\ChiTietTTHC_2.000809.doc
1.001601,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2334,D:/capstone-project/backup\huu_tri\ChiTietTTHC_1.001601.doc
2.000755,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2413,D:/capstone-project/backup\huu_tri\ChiTietTTHC_2.000755.doc
2.000762,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2438,D:/capstone-project/backup\huu_tri\ChiTietTTHC_2.000762.doc
1.001710,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2491,D:/capstone-project/backup\huu_tri\ChiTietTTHC_1.001710.doc
2.000717,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2299,D:/capstone-project/backup\huu_tri\ChiTietTTHC_2.000717.doc
2.000605,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=1853,D:/capstone-project/backup\huu_tri\ChiTietTTHC_2.000605.doc
1.001646,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2402,D:/capstone-project/backup\huu_tri\ChiTietTTHC_1.001646.doc
