Mã thủ tục,Đường dẫn,File
2.000693,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2231,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.000693.doc
1.001667,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2434,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.001667.doc
2.002237,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=9162,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.002237.doc
1.003135,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=4443,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.003135.doc
1.000148,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=205,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.000148.doc
2.000907,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2984,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.000907.doc
2.000902,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2961,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.000902.doc
1.004527,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6378,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.004527.doc
1.001692,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2468,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.001692.doc
1.000187,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=266,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.000187.doc
1.000183,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=261,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.000183.doc
2.001830,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=6364,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.001830.doc
2.000731,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2336,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.000731.doc
2.000725,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=2319,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.000725.doc
2.000037,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=130,D:/capstone-project/backup\viec_lam\ChiTietTTHC_2.000037.doc
1.000180,https://dichvucong.gov.vn/p/home/dvc-tthc-thu-tuc-hanh-chinh-chi-tiet.html?ma_thu_tuc=255,D:/capstone-project/backup\viec_lam\ChiTietTTHC_1.000180.doc
